"filename", "language", "JavaScript React", "Less", "JavaScript", "CSS", "JSON", "HTML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Articles\index.jsx", "JavaScript React", 55, 0, 0, 0, 0, 0, 0, 4, 59
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Articles\index.less", "Less", 0, 11, 0, 0, 0, 0, 0, 2, 13
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\AvatarList\index.jsx", "JavaScript React", 55, 0, 0, 0, 0, 0, 0, 7, 62
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\AvatarList\index.less", "Less", 0, 44, 0, 0, 0, 0, 0, 7, 51
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Projects\index.jsx", "JavaScript React", 52, 0, 0, 0, 0, 0, 1, 3, 56
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\components\Projects\index.less", "Less", 0, 50, 0, 0, 0, 0, 0, 5, 55
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\index.jsx", "JavaScript React", 246, 0, 0, 0, 0, 0, 1, 18, 265
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\service.js", "JavaScript", 0, 0, 9, 0, 0, 0, 0, 1, 10
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\_mock.js", "JavaScript", 0, 0, 71, 0, 0, 0, 2, 6, 79
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\BaseView.less", "Less", 0, 59, 0, 0, 0, 0, 0, 7, 66
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\PhoneView.jsx", "JavaScript React", 33, 0, 0, 0, 0, 0, 0, 5, 38
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\base.jsx", "JavaScript React", 225, 0, 0, 0, 0, 0, 0, 14, 239
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\binding.jsx", "JavaScript React", 43, 0, 0, 0, 0, 0, 0, 4, 47
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\notification.jsx", "JavaScript React", 39, 0, 0, 0, 0, 0, 0, 4, 43
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\security.jsx", "JavaScript React", 56, 0, 0, 0, 0, 0, 0, 4, 60
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\geographic\city.json", "JSON", 0, 0, 0, 0, 1784, 0, 0, 1, 1785
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\geographic\province.json", "JSON", 0, 0, 0, 0, 138, 0, 0, 1, 139
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\index.jsx", "JavaScript React", 94, 0, 0, 0, 0, 0, 0, 18, 112
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\service.js", "JavaScript", 0, 0, 13, 0, 0, 0, 0, 1, 14
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\style.less", "Less", 0, 88, 0, 0, 0, 0, 2, 4, 94
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\_mock.js", "JavaScript", 0, 0, 195, 0, 0, 0, 1, 15, 211
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Bar\index.jsx", "JavaScript React", 114, 0, 0, 0, 0, 0, 0, 11, 125
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\ChartCard\index.jsx", "JavaScript React", 91, 0, 0, 0, 0, 0, 0, 12, 103
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\ChartCard\index.less", "Less", 0, 74, 0, 0, 0, 0, 0, 2, 76
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Field\index.jsx", "JavaScript React", 9, 0, 0, 0, 0, 0, 0, 3, 12
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Field\index.less", "Less", 0, 16, 0, 0, 0, 0, 0, 2, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Gauge\index.jsx", "JavaScript React", 161, 0, 0, 0, 0, 0, 0, 11, 172
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniArea\index.jsx", "JavaScript React", 110, 0, 0, 0, 0, 0, 0, 3, 113
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniBar\index.jsx", "JavaScript React", 40, 0, 0, 0, 0, 0, 0, 4, 44
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\MiniProgress\index.jsx", "JavaScript React", 43, 0, 0, 0, 0, 0, 0, 3, 46
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\Pie\index.jsx", "JavaScript React", 241, 0, 0, 0, 0, 0, 4, 26, 271
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\TagCloud\index.jsx", "JavaScript React", 165, 0, 0, 0, 0, 0, 5, 20, 190
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\TimelineChart\index.jsx", "JavaScript React", 127, 0, 0, 0, 0, 0, 2, 8, 137
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\WaterWave\index.jsx", "JavaScript React", 207, 0, 0, 0, 0, 0, 4, 35, 246
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\autoHeight.jsx", "JavaScript React", 62, 0, 0, 0, 0, 0, 0, 14, 76
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\index.jsx", "JavaScript React", 10, 0, 0, 0, 0, 0, 0, 3, 13
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Charts\index.less", "Less", 0, 19, 0, 0, 0, 0, 0, 1, 20
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\IntroduceRow.jsx", "JavaScript React", 146, 0, 0, 0, 0, 0, 0, 4, 150
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\NumberInfo\index.jsx", "JavaScript React", 48, 0, 0, 0, 0, 0, 0, 3, 51
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\NumberInfo\index.less", "Less", 0, 67, 0, 0, 0, 0, 0, 2, 69
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\OfflineData.jsx", "JavaScript React", 74, 0, 0, 0, 0, 0, 0, 5, 79
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\PageLoading\index.jsx", "JavaScript React", 11, 0, 0, 0, 0, 0, 1, 2, 14
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\ProportionSales.jsx", "JavaScript React", 61, 0, 0, 0, 0, 0, 1, 3, 65
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\SalesCard.jsx", "JavaScript React", 181, 0, 0, 0, 0, 0, 0, 4, 185
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\TopSearch.jsx", "JavaScript React", 126, 0, 0, 0, 0, 0, 0, 3, 129
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Trend\index.jsx", "JavaScript React", 25, 0, 0, 0, 0, 0, 0, 3, 28
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\components\Trend\index.less", "Less", 0, 33, 0, 0, 0, 0, 0, 5, 38
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\index.jsx", "JavaScript React", 128, 0, 0, 0, 0, 0, 0, 20, 148
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\service.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\style.less", "Less", 0, 175, 0, 0, 0, 0, 0, 15, 190
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\utils\Yuan.jsx", "JavaScript React", 26, 0, 0, 0, 0, 0, 1, 7, 34
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\utils\utils.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 8, 47
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\analysis\utils\utils.less", "Less", 0, 46, 0, 0, 0, 0, 2, 3, 51
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\_mock.js", "JavaScript", 0, 0, 17, 0, 0, 0, 0, 3, 20
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\ActiveChart\index.jsx", "JavaScript React", 83, 0, 0, 0, 0, 0, 0, 11, 94
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\ActiveChart\index.less", "Less", 0, 49, 0, 0, 0, 0, 0, 3, 52
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\Gauge\index.jsx", "JavaScript React", 161, 0, 0, 0, 0, 0, 0, 11, 172
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\MiniArea\index.jsx", "JavaScript React", 110, 0, 0, 0, 0, 0, 0, 3, 113
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\Pie\index.jsx", "JavaScript React", 241, 0, 0, 0, 0, 0, 4, 27, 272
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\TagCloud\index.jsx", "JavaScript React", 165, 0, 0, 0, 0, 0, 5, 20, 190
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\WaterWave\index.jsx", "JavaScript React", 207, 0, 0, 0, 0, 0, 4, 35, 246
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Charts\autoHeight.jsx", "JavaScript React", 62, 0, 0, 0, 0, 0, 0, 14, 76
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\components\Map\index.jsx", "JavaScript React", 142, 0, 0, 0, 0, 0, 0, 3, 145
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\index.jsx", "JavaScript React", 186, 0, 0, 0, 0, 0, 9, 3, 198
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\service.js", "JavaScript", 0, 0, 4, 0, 0, 0, 0, 1, 5
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\monitor\style.less", "Less", 0, 18, 0, 0, 0, 0, 0, 4, 22
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\_mock.js", "JavaScript", 0, 0, 392, 0, 0, 0, 1, 18, 411
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\components\EditableLinkGroup\index.jsx", "JavaScript React", 31, 0, 0, 0, 0, 0, 0, 3, 34
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\dashboard\workplace\components\EditableLinkGroup\index.less", "Less", 0, 15, 0, 0, 0, 0, 0, 2, 17
