"filename", "language", "Markdown", "JavaScript", "JSON", "Less", "JavaScript React", "CSS", "JSON with Comments", "Python", "XML", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649507953619.json", "JSON", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649594162262.json", "JSON", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db-1649594178239.json", "JSON", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\db.json", "JSON", 0, 0, -164, 0, 0, 0, 0, 0, 0, -35, 0, -199
"d:\工作\软工实验\sep\SE-Project-Front\json-server\package-lock.json", "JSON", 0, 0, -3538, 0, 0, 0, 0, 0, 0, 0, -1, -3539
"d:\工作\软工实验\sep\SE-Project-Front\json-server\package.json", "JSON", 0, 0, -5, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\工作\软工实验\sep\SE-Project-Front\json-server\people.json", "JSON", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\readme.md", "Markdown", -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -13
"d:\工作\软工实验\sep\SE-Project-Front\json-server\result.json", "JSON", 0, 0, -20, 0, 0, 0, 0, 0, 0, 0, 0, -20
"d:\工作\软工实验\sep\SE-Project-Front\json-server\router.json", "JSON", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\工作\软工实验\sep\SE-Project-Front\json-server\server.js", "JavaScript", 0, -18, 0, 0, 0, 0, 0, 0, 0, -90, -3, -111
"d:\工作\软工实验\sep\SE-Project-Front\mock\listTableList.js", "JavaScript", 0, -148, 0, 0, 0, 0, 0, 0, 0, -2, -29, -179
"d:\工作\软工实验\sep\SE-Project-Front\mock\notices.js", "JavaScript", 0, -104, 0, 0, 0, 0, 0, 0, 0, 0, -2, -106
"d:\工作\软工实验\sep\SE-Project-Front\mock\route.js", "JavaScript", 0, -7, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\工作\软工实验\sep\SE-Project-Front\mock\user.js", "JavaScript", 0, -191, 0, 0, 0, 0, 0, 0, 0, -15, -10, -216
"d:\工作\软工实验\sep\SE-Project-Front\package-lock.json", "JSON", 0, 0, -31601, 0, 0, 0, 0, 0, 0, 0, -1, -31602
"d:\工作\软工实验\sep\SE-Project-Front\package.json", "JSON", 0, 0, -118, 0, 0, 0, 0, 0, 0, -26, 0, -144
"d:\工作\软工实验\sep\SE-Project-Front\people.json", "JSON", 0, 0, -19, 0, 0, 0, 0, 0, 0, 0, 0, -19
"d:\工作\软工实验\sep\SE-Project-Front\public\logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, -1
"d:\工作\软工实验\sep\SE-Project-Front\public\pro_icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, -5, 0, 0, -5
"d:\工作\软工实验\sep\SE-Project-Front\seletest\test.py", "Python", 0, 0, 0, 0, 0, 0, 0, -17, 0, 0, -1, -18
"d:\工作\软工实验\sep\SE-Project-Front\src\access.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, -3, -1, -10
"d:\工作\软工实验\sep\SE-Project-Front\src\app.jsx", "JavaScript React", 0, 0, 0, 0, -57, 0, 0, 0, 0, -13, -8, -78
"d:\工作\软工实验\sep\SE-Project-Front\src\components\ApplicationForm\index.css", "CSS", 0, 0, 0, 0, 0, -62, 0, 0, 0, -3, -13, -78
"d:\工作\软工实验\sep\SE-Project-Front\src\components\ApplicationForm\index.js", "JavaScript", 0, -371, 0, 0, 0, 0, 0, 0, 0, -10, -33, -414
"d:\工作\软工实验\sep\SE-Project-Front\src\components\Footer\index.jsx", "JavaScript React", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, -1, -37
"d:\工作\软工实验\sep\SE-Project-Front\src\components\HeaderDropdown\index.jsx", "JavaScript React", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, -3, -11
