"filename", "language", "JavaScript", "JavaScript React", "Markdown", "Less", "comment", "blank", "total"
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\QuotationFill.js", "JavaScript", 17, 0, 0, 0, 0, 1, 18
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\RepoVerify.js", "JavaScript", 102, 0, 0, 0, 0, 2, 104
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\SampleDisplay.js", "JavaScript", 3, 0, 0, 0, 0, -1, 2
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\SampleFill.js", "JavaScript", 32, 0, 0, 0, 0, 0, 32
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestReport.js", "JavaScript", 783, 0, 0, 0, 4, 13, 800
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\TestVerify.js", "JavaScript", 41, 0, 0, 0, 9, -2, 48
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\UserInfo.js", "JavaScript", -2, 0, 0, 0, 0, 0, -2
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\center\index.jsx", "JavaScript React", 0, -188, 0, 0, 197, 3, 12
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\admin.jsx", "JavaScript React", 0, 185, 0, 0, 1, 18, 204
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\components\base.jsx", "JavaScript React", 0, -77, 0, 0, 162, -1, 84
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\account\settings\index.jsx", "JavaScript React", 0, 3, 0, 0, 9, 1, 13
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\downloads\RepoVerDownload.js", "JavaScript", 38, 0, 0, 0, 0, 2, 40
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\downloads\ScheVerDownload.js", "JavaScript", 38, 0, 0, 0, 0, 2, 40
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\index.js", "JavaScript", 1, 0, 0, 0, 0, 0, 1
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\pageViewer\EntrustmentViewer.js", "JavaScript", 511, 0, 0, 0, 0, 19, 530
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\pageViewer\JS006.js", "JavaScript", 252, 0, 0, 0, 12, 18, 282
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\pageViewer\components\dateTranslate.js", "JavaScript", 16, 0, 0, 0, 0, 1, 17
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\JS006.js", "JavaScript", 16, 0, 0, 0, 18, 2, 36
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\JS008.js", "JavaScript", 160, 0, 0, 0, 5, 3, 168
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\JS009.js", "JavaScript", 219, 0, 0, 0, 5, 3, 227
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\JS010.js", "JavaScript", 19, 0, 0, 0, 0, 1, 20
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\JS011.js", "JavaScript", 168, 0, 0, 0, 5, 3, 176
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\JS012.js", "JavaScript", 229, 0, 0, 0, 5, 3, 237
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\testingTable\components\dateTranslate.js", "JavaScript", 2, 0, 0, 0, 0, 0, 2
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\uploads\RepoVerUpload.js", "JavaScript", 55, 0, 0, 0, 0, 3, 58
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\uploads\ScheVerUpload.js", "JavaScript", 54, 0, 0, 0, 0, 3, 57
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\Login\index.jsx", "JavaScript React", 0, -6, 0, 0, 15, -1, 8
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register\index.jsx", "JavaScript React", 0, -56, 0, 0, 66, 0, 10
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register\service.js", "JavaScript", -2, 0, 0, 0, 5, 0, 3
"d:\工作\软工实验\sep\SE-Project-Front\src\pages\user\register\style.less", "Less", 0, 0, 0, 2, 13, 1, 16
"Total", "-", 3956, 958, 3, 1365, 597, 386, 7265
